raw,close
0.00109477,1094.77
0.00109761,1097.61
0.00110234,1102.34
0.00110041,1100.41
0.00110395,1103.95
0.00109675,1096.75
0.00109621,1096.21
0.00109148,1091.48
0.00109099,1090.99
0.00108916,1089.16
0.00108365,1083.65
0.00108585,1085.85
0.00108439,1084.39
0.00108568,1085.68
0.00108118,1081.18
0.00107857,1078.57
0.00107808,1078.08
0.00107382,1073.82
0.00107214,1072.14
0.00107272,1072.72
0.00107816,1078.16
0.00107802,1078.02
0.00108472,1084.72
0.00108484,1084.84
0.00108329,1083.29
0.00109519,1095.19
0.00109512,1095.12
0.00111307,1113.07
0.00111677,1116.77
0.00113287,1132.87
0.00115766,1157.66
0.0011725,1172.5
0.00119997,1199.97
0.00122881,1228.81
0.00125784,1257.84
0.00127875,1278.75
0.00131369,1313.69
0.00133686,1336.86
0.00136651,1366.51
0.0013842,1384.2
0.00139368,1393.68
0.00139933,1399.33
0.00141188,1411.88
0.0014143,1414.3
0.00142138,1421.38
0.00142662,1426.62
0.00143727,1437.27
0.00144247,1442.47
0.00143922,1439.22
0.00144514,1445.14
0.00144802,1448.02
0.00145137,1451.37
0.0014531,1453.1
0.00145104,1451.04
0.0014529,1452.9
0.00145855,1458.55
0.00145638,1456.38
0.00145573,1455.73
0.00146068,1460.68
0.00145438,1454.38
0.0014512,1451.2
0.00145916,1459.16
0.00145309,1453.09
0.00145088,1450.88
0.00145159,1451.59
0.00145883,1458.83
0.00145834,1458.34
0.00145532,1455.32
0.00145723,1457.23
0.00145646,1456.46
0.00145211,1452.11
0.00145465,1454.65
0.00144749,1447.49
0.00145082,1450.82
0.00145056,1450.56
0.00145541,1455.41
0.00145009,1450.09
0.00145221,1452.21
0.00144214,1442.14
0.00145095,1450.95
0.00144828,1448.28
0.00144631,1446.31
0.00145223,1452.23
0.00145106,1451.06
0.00145084,1450.84
0.00145306,1453.06
0.00145347,1453.47
0.00145095,1450.95
0.00145389,1453.89
0.00145315,1453.15
0.00145599,1455.99
0.00144846,1448.46
0.00145371,1453.71
0.00145107,1451.07
0.00145397,1453.97
0.00145152,1451.52
0.00144709,1447.09
0.00144191,1441.91
0.00144998,1449.98
0.00145289,1452.89
0.00145079,1450.79
0.00144619,1446.19
0.00144992,1449.92
0.00145109,1451.09
0.00145476,1454.76
0.00145087,1450.87
0.00145369,1453.69
0.00145051,1450.51
0.00145088,1450.88
0.00144634,1446.34
